epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1432.97,1.14912,0.74947,1.22317,0.7267,0.76036,0.80106,0.53019,1.15934,0.69805,1.23234,0.000742625,0.000742625,0.000742625
43,1466.58,1.15178,0.74885,1.22296,0.69341,0.77573,0.79554,0.52068,1.17607,0.70879,1.24073,0.00073025,0.00073025,0.00073025
44,1500.1,1.15738,0.75512,1.22789,0.7189,0.76061,0.79869,0.52532,1.17081,0.706,1.24933,0.000717875,0.000717875,0.000717875
45,1533.77,1.15403,0.74417,1.23096,0.73212,0.75892,0.81229,0.53567,1.16642,0.69273,1.23626,0.0007055,0.0007055,0.0007055
46,1567.39,1.14421,0.74015,1.22371,0.72433,0.75009,0.79626,0.52063,1.17427,0.7013,1.24091,0.000693125,0.000693125,0.000693125
47,1600.97,1.14627,0.73795,1.22464,0.71946,0.76707,0.8079,0.53207,1.15912,0.69397,1.23631,0.00068075,0.00068075,0.00068075
48,1634.54,1.15094,0.7289,1.22567,0.73736,0.75545,0.8042,0.5283,1.16775,0.6886,1.22849,0.000668375,0.000668375,0.000668375
49,1667.99,1.13065,0.72342,1.22041,0.71684,0.78612,0.81454,0.53948,1.16497,0.67808,1.23968,0.000656,0.000656,0.000656
50,1701.85,1.13045,0.7156,1.20969,0.74286,0.74222,0.79619,0.52638,1.16727,0.69623,1.24129,0.000643625,0.000643625,0.000643625
51,1735.46,1.13144,0.71464,1.21515,0.73964,0.74532,0.80889,0.53331,1.16913,0.67746,1.23766,0.00063125,0.00063125,0.00063125
52,1768.94,1.12046,0.70703,1.21069,0.72836,0.74679,0.79402,0.52758,1.16178,0.68507,1.23477,0.000618875,0.000618875,0.000618875
53,1802.44,1.13088,0.71551,1.2162,0.73119,0.76789,0.80532,0.53494,1.15963,0.6964,1.23412,0.0006065,0.0006065,0.0006065
54,1835.99,1.12406,0.71264,1.20323,0.72363,0.77105,0.80728,0.53315,1.16587,0.68258,1.23773,0.000594125,0.000594125,0.000594125
55,1869.75,1.12342,0.70029,1.2055,0.74628,0.76246,0.813,0.54017,1.16183,0.6879,1.24459,0.00058175,0.00058175,0.00058175
56,1903.22,1.12236,0.69469,1.21017,0.71499,0.76336,0.79845,0.52918,1.15826,0.67611,1.23674,0.000569375,0.000569375,0.000569375
57,1936.77,1.11833,0.69936,1.20818,0.70634,0.75483,0.77981,0.51484,1.16064,0.68088,1.24553,0.000557,0.000557,0.000557
58,1970.33,1.11355,0.68773,1.20146,0.73692,0.76129,0.80579,0.53242,1.16316,0.6799,1.23973,0.000544625,0.000544625,0.000544625
59,2003.92,1.12306,0.69166,1.20626,0.7163,0.75899,0.80036,0.52376,1.17986,0.67397,1.25889,0.00053225,0.00053225,0.00053225
60,2037.46,1.10304,0.67896,1.19776,0.75042,0.75535,0.81738,0.53892,1.16672,0.6703,1.23577,0.000519875,0.000519875,0.000519875
61,2071.07,1.10164,0.67386,1.19238,0.71866,0.76151,0.8015,0.52976,1.16159,0.67593,1.23802,0.0005075,0.0005075,0.0005075
62,2104.69,1.10389,0.67167,1.19356,0.7235,0.76818,0.79522,0.52597,1.16419,0.67299,1.23751,0.000495125,0.000495125,0.000495125
63,2138.31,1.10785,0.66723,1.19545,0.73143,0.77562,0.81312,0.53809,1.16751,0.66815,1.24263,0.00048275,0.00048275,0.00048275
64,2171.75,1.09222,0.66872,1.19357,0.7468,0.7703,0.81988,0.54509,1.16076,0.66112,1.2346,0.000470375,0.000470375,0.000470375
65,2205.38,1.09569,0.66195,1.1865,0.73509,0.75272,0.80524,0.53023,1.16794,0.66811,1.23883,0.000458,0.000458,0.000458
66,2239.05,1.08315,0.65684,1.18252,0.72149,0.74834,0.7935,0.52308,1.16644,0.68907,1.24121,0.000445625,0.000445625,0.000445625
67,2272.49,1.09934,0.67693,1.20048,0.7179,0.75886,0.79686,0.52244,1.17119,0.67379,1.24537,0.00043325,0.00043325,0.00043325
68,2306.15,1.09285,0.65596,1.18389,0.72402,0.80212,0.81965,0.54196,1.16427,0.66641,1.24178,0.000420875,0.000420875,0.000420875
69,2339.62,1.08879,0.65009,1.18418,0.74035,0.76488,0.8065,0.53292,1.16012,0.66126,1.24252,0.0004085,0.0004085,0.0004085
70,2373.26,1.08186,0.65063,1.18664,0.72123,0.76107,0.80127,0.53125,1.16343,0.66751,1.23393,0.000396125,0.000396125,0.000396125
71,2406.9,1.08539,0.65729,1.18041,0.75176,0.7453,0.80778,0.53536,1.16072,0.66835,1.24017,0.00038375,0.00038375,0.00038375
72,2440.42,1.07005,0.63898,1.17973,0.75414,0.75859,0.81499,0.54027,1.15578,0.65194,1.23376,0.000371375,0.000371375,0.000371375
73,2474.03,1.08259,0.64324,1.18027,0.7358,0.75279,0.79752,0.52794,1.15923,0.66883,1.24132,0.000359,0.000359,0.000359
74,2507.64,1.07104,0.63376,1.17628,0.71809,0.75297,0.78158,0.51264,1.1765,0.6797,1.25871,0.000346625,0.000346625,0.000346625
75,2541.15,1.06855,0.62287,1.177,0.73321,0.77554,0.80788,0.53421,1.16937,0.65697,1.24803,0.00033425,0.00033425,0.00033425
76,2574.56,1.05655,0.61736,1.17167,0.73982,0.76305,0.81164,0.54072,1.16256,0.65031,1.24219,0.000321875,0.000321875,0.000321875
77,2608.17,1.06263,0.62243,1.16688,0.72675,0.76258,0.79668,0.5278,1.16843,0.66698,1.24988,0.0003095,0.0003095,0.0003095
78,2641.77,1.05431,0.61677,1.17099,0.72139,0.77509,0.80339,0.5309,1.17046,0.66579,1.25853,0.000297125,0.000297125,0.000297125
